ImageID,"ArtistName","ImageName","Path",VideoFile,AudioFile,TextFile
,"Alexis Diaz","AlexisDiaz.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\AlexisDiaz.mp4,,
,"Amy Sherald","AmySherald.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Ana Segovia","AnaSegovia.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"AndreaBowers","AndreaBowers.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Anna Park","AnnaPark.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Anya Kielar","AnyaKielar.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Arghavaan Khosravi","ArghavaanKhosravi.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Banksy","Banksy.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\Banksy.mp4,,
,"Barbara Kruger","BarbaraKruger.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Becky Suss","BeckySuss.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Bettina Rheims","BettinaRheims.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\BettinaRheims.mp4,,
,"Beverly Fishman","BeverlyFishman.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Cacao Rocks","CacaoRocks.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\CacaoRocks.mp4,,
,"Caroline Larsen","CarolineLarsen.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Cecily Brown","CecilyBrown.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Chloe Wise","ChloeWise.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Christina Forrer","ChristinaForrer.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Christina Quarles","ChristinaQuarles.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Christine Wang","ChristineWang.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Cindy Sherman","CindySherman.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Claire Tabouret","ClaireTabouret.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Clare Woods","ClareWoods.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Dali","Dali.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\Dali.mp4,,
,"Dana Schutz","DanaSchutz.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"David Choe","DavidChoe.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\DavidChoe.mp4,,
,"Ebecho Muslimova","EbechoMuslimova.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Egon Schiele","EgonSchiele.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\EgonSchiele.mp4,,
,"Elsa Sahal","ElsaSahal.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Emily Mae Smith","EmilyMaeSmith.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Emma Kohlmann","EmmaKohlmann.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Farah Atassi","FarahAtassi.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Firelei Baez","FireleiBaez.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Ga Hee Park","GaHeePark.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Genesis Belanger","GenesisBelanger.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Genieve Figgis","GenieveFiggis.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Gina Beavers","GinaBeavers.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Grace Weaver","GraceWeaver.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Hannah Van Bart","HannahVanBart.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Hayv Kahraman","HayvKahraman.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Heidi Hahn","HeidiHahn.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Herakut","Herakut.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\Herakut.mp4,,
,"Hilary Pecis","HilaryPecis.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Issy Wood","IssyWood.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Ivy Haldeman","IvyHaldeman.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jamian Juliano Villani","JamianJulianoVillani.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jennifer Packer","JenniferPacker.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jenny Saville","JennySaville.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jessie Makinson","JessieMakinson.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jordan Casteel","JordanCasteel.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Kandinsky","Kandinsky.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\Kandinsky.mp4,,
,"Katherine Bernhardt","KatherineBernhardt.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Katherine Bradford","KatherineBradford.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Kelly Reemtsen","KellyReemtsen.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Lisa Yuskavage","LisaYuskavage.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Loie Hollowell","LoieHollowell.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Louise Bonnet","LouiseBonnet.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
